ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
38563,0.548,0.000,2.787,0.000,C:\Users\joy_c\anaconda3\lib\site-packages\sympy\core\basic.py:1867(_aresame)
664962/271036,0.483,0.000,0.606,0.000,C:\Users\joy_c\anaconda3\lib\site-packages\sympy\core\basic.py:2001(_preorder_traversal)
155254/54714,0.467,0.000,1.426,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
9296,0.411,0.000,1.449,0.000,C:/Users/joy_c/Dropbox/PhD/Research/QSD/codes_developing/QSDsan\qsdsan\sanunits\_suspended_growth_bioreactor.py:247(dy_dt)
163518,0.366,0.000,0.368,0.000,{built-in method numpy.array}
79490/78339,0.332,0.000,1.069,0.000,C:\Users\joy_c\anaconda3\lib\site-packages\sympy\core\expr.py:143(__eq__)
9303,0.264,0.000,0.814,0.000,C:/Users/joy_c/Dropbox/PhD/Research/QSD/codes_developing/QSDsan\qsdsan\sanunits\_bst_units.py:186(_state_locator)
828272/827772,0.247,0.000,0.251,0.000,{built-in method builtins.isinstance}
2324,0.227,0.000,9.686,0.004,C:/Users/joy_c/Dropbox/PhD/Research/QSD/codes_developing/biosteam\biosteam\_system.py:1472(dydt)
23240,0.183,0.000,0.232,0.000,C:/Users/joy_c/Dropbox/PhD/Research/QSD/codes_developing/QSDsan\qsdsan\sanunits\_clarifier.py:20(_settling_flux)
48841,0.177,0.000,1.032,0.000,C:\Users\joy_c\anaconda3\lib\site-packages\numpy\lib\function_base.py:4690(append)
78010,0.155,0.000,0.155,0.000,C:\Users\joy_c\anaconda3\lib\site-packages\sympy\core\symbol.py:323(<dictcomp>)
42876,0.155,0.000,0.295,0.000,C:\Users\joy_c\anaconda3\lib\site-packages\sympy\core\numbers.py:1383(__eq__)
2324,0.135,0.000,0.869,0.000,C:/Users/joy_c/Dropbox/PhD/Research/QSD/codes_developing/QSDsan\qsdsan\sanunits\_clarifier.py:431(dy_dt)
78010,0.133,0.000,0.471,0.000,C:\Users\joy_c\anaconda3\lib\site-packages\sympy\core\symbol.py:309(_hashable_content)
11591,0.132,0.000,0.132,0.000,{method 'reduce' of 'numpy.ufunc' objects}
48841,0.130,0.000,1.286,0.000,<__array_function__ internals>:2(append)
46339/16371,0.128,0.000,3.529,0.000,C:\Users\joy_c\anaconda3\lib\site-packages\sympy\core\cache.py:69(wrapper)
129521,0.124,0.000,0.338,0.000,C:\Users\joy_c\anaconda3\lib\site-packages\sympy\core\sympify.py:486(_sympify)
248222,0.119,0.000,0.822,0.000,C:\Users\joy_c\anaconda3\lib\site-packages\sympy\core\basic.py:2045(__next__)
2324,0.118,0.000,0.118,0.000,<lambdifygenerated-3>:1(_lambdifygenerated)
2324,0.114,0.000,0.114,0.000,<lambdifygenerated-4>:1(_lambdifygenerated)
2324,0.109,0.000,0.109,0.000,<lambdifygenerated-1>:1(_lambdifygenerated)
78010,0.109,0.000,0.279,0.000,C:\Users\joy_c\anaconda3\lib\site-packages\sympy\core\symbol.py:321(assumptions0)
2324,0.108,0.000,0.108,0.000,<lambdifygenerated-5>:1(_lambdifygenerated)
136834/136759,0.108,0.000,0.280,0.000,C:\Users\joy_c\anaconda3\lib\site-packages\sympy\core\sympify.py:92(sympify)
